"filename", "language", "JSON", "Markdown", "JavaScript", "TypeScript", "JSON with Comments", "PostCSS", "TypeScript JSX", "TOML", "MS SQL", "HTML", "Rust", "YAML", "WebAssembly Text Format", "comment", "blank", "total"
"d:\limerence\pi-web\src\views\token-usage.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 21
"d:\limerence\pi-web\src\views\tool-calls.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 17
"d:\limerence\pi-web\src\views\workspace-memory.ts", "TypeScript", 0, 0, 0, 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11, 126
"d:\limerence\pi-web\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 34
"d:\limerence\pi-web\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
"d:\limerence\pi-web\vite.config.ts", "TypeScript", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 36
"d:\limerence\角色卡示例\json\奥琪-魔20260205224838481.json", "JSON", 673, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 673
"d:\limerence\预设example\正则\正则三删除多余内容.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\limerence\预设example\正则\正则二部分仅保留总结.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\limerence\预设example\预设\久久预设 FOR Claude.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"Total", "-", 10874, 742, 42, 11964, 38, 1863, 2734, 2379, 168, 35, 2187, 29, 14685, 1529, 3731, 53000
